id,name,intervals,partner,retrograde_of,degenerate,reduces_to,berliner,row_forms,palindromic,literal_span_semitones,bounded_span_semitones
6-70,m2-M2-m6-M6-m6-M2,"1 2 8 9 8 2",6-70I,6-70I,false,,6-50,12,true,60,11
6-70I,m3-M3-m7-M7-m7-M3,"3 4 10 11 10 4",6-70,6-70,false,,6-50,12,true,84,11
6-71,m2-M2-m6-M7-M3-M3,"1 2 8 11 4 4",6-71I,6-124I,false,,6-51,24,false,60,11
6-71I,m2-m6-m6-M7-m7-M3,"1 8 8 11 10 4",6-71,6-124,false,,6-51,24,false,84,11
6-72,m2-M2-M7-M2-P5-P5,"1 2 11 2 7 7",6-72I,6-163I,false,,6-52,24,false,60,11
6-72I,m2-m7-P4-P4-M7-m7,"1 10 5 5 11 10",6-72,6-163,false,,6-52,24,false,84,11
6-73,m2-M2-M7-m3-P4-m6,"1 2 11 3 5 8",6-73I,6-183I,false,,6-53,24,false,60,11
6-73I,m2-M6-P5-M3-M7-m7,"1 9 7 4 11 10",6-73,6-183,false,,6-53,24,false,84,11
6-74,m2-M2-M7-m3-M7-M2,"1 2 11 3 11 2",6-74I,6-74I,false,,6-54,12,true,60,11
6-74I,m2-M6-m2-m7-M7-m7,"1 9 1 10 11 10",6-74,6-74,false,,6-54,12,true,84,11
6-75,m2-M2-M7-m6-m2-P5,"1 2 11 8 1 7",6-75I,6-149I,false,,6-55,24,false,60,11
6-75I,m2-M3-M7-P4-M7-m7,"1 4 11 5 11 10",6-75,6-149,false,,6-55,24,false,84,11
6-76,m2-M2-M7-M6-P4-M2,"1 2 11 9 5 2",6-76I,6-58I,false,,6-39,24,false,60,11
6-76I,m2-m3-P5-m7-M7-m7,"1 3 7 10 11 10",6-76,6-58,false,,6-39,24,false,84,11
6-77,m2-M2-M7-M6-M7-m6,"1 2 11 9 11 8",6-77I,6-83,false,,6-56,24,false,84,11
6-77I,m2-m3-m2-M3-M7-m7,"1 3 1 4 11 10",6-77,6-83I,false,,6-56,24,false,60,11
6-78,m2-m3-m2-m3-m2-M6,"1 3 1 3 1 9",6-78I,6-78I,false,,6-57,12,true,36,11
6-78I,m3-M7-M6-M7-M6-M7,"3 11 9 11 9 11",6-78,6-78,false,,6-57,12,true,108,11
6-79,m2-m3-m2-m3-P5-m3,"1 3 1 3 7 3",6-79I,6-79I,false,,6-58,12,true,36,11
6-79I,P4-M6-M7-M6-M7-M6,"5 9 11 9 11 9",6-79,6-79,false,,6-58,12,true,108,11
6-80,m2-m3-m2-M3-P4-M3,"1 3 1 4 5 4",6-80I,6-80I,false,,6-59,12,true,36,11
6-80I,P5-m6-M7-M6-M7-m6,"7 8 11 9 11 8",6-80,6-80,false,,6-59,12,true,108,11
6-81,m2-m3-m2-M6-P5-M6,"1 3 1 9 7 9",6-81I,6-81I,false,,6-60,12,true,60,11
6-81I,m3-P4-m3-M7-M6-M7,"3 5 3 11 9 11",6-81,6-81,false,,6-60,12,true,84,11
6-82,m2-m3-m2-m7-P4-m7,"1 3 1 10 5 10",6-82I,6-82I,false,,6-61,12,true,60,11
6-82I,M2-P5-M2-M7-M6-M7,"2 7 2 11 9 11",6-82,6-82,false,,6-61,12,true,84,11
6-83,m2-m3-m2-m7-M7-M3,"1 3 1 10 11 4",6-83I,6-77,false,,6-56,24,false,60,11
6-83I,m2-m6-M7-M6-M7-M2,"1 8 11 9 11 2",6-83,6-77I,false,,6-56,24,false,84,11
6-84,m2-m3-M3-m3-M3-m3,"1 3 4 3 4 3",6-84I,6-84I,false,,6-62,12,true,36,11
6-84I,m6-M6-m6-M6-M7-M6,"8 9 8 9 11 9",6-84,6-84,false,,6-62,12,true,108,11
6-85,m2-m3-M3-m3-m7-M6,"1 3 4 3 10 9",6-85I,6-214I,false,,6-63,24,false,60,11
6-85I,M2-m3-M7-M6-m6-M6,"2 3 11 9 8 9",6-85,6-214,false,,6-63,24,false,84,11
6-86,m2-m3-M3-P5-m6-P5,"1 3 4 7 8 7",6-86I,6-167I,false,,6-64,24,false,60,11
6-86I,M3-P4-M7-M6-m6-P4,"4 5 11 9 8 5",6-86,6-167,false,,6-64,24,false,84,11
6-87,m2-m3-M3-M6-M3-M6,"1 3 4 9 4 9",6-87I,6-203I,false,,6-65,24,false,60,11
6-87I,m3-m6-m3-M7-M6-m6,"3 8 3 11 9 8",6-87,6-203,false,,6-65,24,false,84,11
6-88,m2-m3-M3-M6-m7-m3,"1 3 4 9 10 3",6-88I,6-105I,false,,6-66,24,false,60,11
6-88I,M2-M6-M7-M6-m6-m3,"2 9 11 9 8 3",6-88,6-105,false,,6-66,24,false,84,11
6-89,m2-m3-P4-M2-m3-M3,"1 3 5 2 3 4",6-89I,6-113I,false,,6-67,24,false,36,11
6-89I,P5-m7-M6-m6-M7-M6,"7 10 9 8 11 9",6-89,6-113,false,,6-67,24,false,108,11
6-90,m2-m3-P4-M2-M6-m7,"1 3 5 2 9 10",6-90I,6-233I,false,,6-68,24,false,60,11
6-90I,M2-M7-M6-P5-m7-m3,"2 11 9 7 10 3",6-90,6-233,false,,6-68,24,false,84,11
6-91,m2-m3-P4-P4-M6-P5,"1 3 5 5 9 7",6-91I,6-171I,false,,6-69,24,false,60,11
6-91I,m3-P4-M7-M6-P5-P5,"3 5 11 9 7 7",6-91,6-171,false,,6-69,24,false,84,11
6-92,m2-m3-P4-m6-m3-m7,"1 3 5 8 3 10",6-92I,6-223I,false,,6-70,24,false,60,11
6-92I,M2-M7-M6-P5-M3-M6,"2 11 9 7 4 9",6-92,6-223,false,,6-70,24,false,84,11
6-93,m2-m3-P4-m6-M6-M3,"1 3 5 8 9 4",6-93I,6-136I,false,,6-71,24,false,60,11
6-93I,m3-m6-M7-M6-P5-M3,"3 8 11 9 7 4",6-93,6-136,false,,6-71,24,false,84,11
6-94,m2-m3-P4-M7-m3-P5,"1 3 5 11 3 7",6-94I,6-160I,false,,6-72,24,false,60,11
6-94I,m2-M6-P4-M7-M6-P5,"1 9 5 11 9 7",6-94,6-160,false,,6-72,24,false,84,11
6-95,m2-m3-P5-m3-P5-M6,"1 3 7 3 7 9",6-95I,6-210I,false,,6-73,24,false,60,11
6-95I,m3-M7-M6-P4-M6-P4,"3 11 9 5 9 5",6-95,6-210,false,,6-73,24,false,84,11
6-96,m2-m3-P5-M3-P4-m7,"1 3 7 4 5 10",6-96I,6-230I,false,,6-74,24,false,60,11
6-96I,M2-M7-M6-P4-m6-P5,"2 11 9 5 8 7",6-96,6-230,false,,6-74,24,false,84,11
6-97,m2-m3-P5-M3-M7-M3,"1 3 7 4 11 4",6-97I,6-145I,false,,6-75,24,false,60,11
6-97I,m2-m6-M7-M6-P4-m6,"1 8 11 9 5 8",6-97,6-145,false,,6-75,24,false,84,11
6-98,m2-m3-P5-M6-m2-M6,"1 3 7 9 1 9",6-98I,6-198I,false,,6-76,24,false,60,11
6-98I,m3-M7-m3-M7-M6-P4,"3 11 3 11 9 5",6-98,6-198,false,,6-76,24,false,84,11
6-99,m2-m3-P5-M6-P5-m3,"1 3 7 9 7 3",6-99I,6-99I,false,,6-77,12,true,60,11
6-99I,m3-P4-M6-M7-M6-P4,"3 5 9 11 9 5",6-99,6-99,false,,6-77,12,true,84,11
6-100,m2-m3-P5-m7-P4-M3,"1 3 7 10 5 4",6-100I,6-129I,false,,6-78,24,false,60,11
6-100I,M2-P5-m6-M7-M6-P4,"2 7 8 11 9 5",6-100,6-129,false,,6-78,24,false,84,11
6-101,m2-m3-m7-m2-m6-P5,"1 3 10 1 8 7",6-101I,6-165I,false,,6-79,24,false,60,11
6-101I,M2-M7-M3-P4-M7-M6,"2 11 4 5 11 9",6-101,6-165,false,,6-79,24,false,84,11
6-102,m2-m3-m7-m3-M3-M6,"1 3 10 3 4 9",6-102I,6-201I,false,,6-80,24,false,60,11
6-102I,M2-M6-m6-m3-M7-M6,"2 9 8 3 11 9",6-102,6-201,false,,6-80,24,false,84,11
6-103,m2-m3-m7-m3-m7-m3,"1 3 10 3 10 3",6-103I,6-103I,false,,6-81,12,true,60,11
6-103I,M2-M6-M2-M6-M7-M6,"2 9 2 9 11 9",6-103,6-103,false,,6-81,12,true,84,11
6-104,m2-m3-m7-P5-M2-P5,"1 3 10 7 2 7",6-104I,6-153I,false,,6-82,24,false,60,11
6-104I,M2-P4-m7-P4-M7-M6,"2 5 10 5 11 9",6-104,6-153,false,,6-82,24,false,84,11
6-105,m2-m3-m7-M6-M3-m3,"1 3 10 9 4 3",6-105I,6-88I,false,,6-66,24,false,60,11
6-105I,M2-m3-m6-M6-M7-M6,"2 3 8 9 11 9",6-105,6-88,false,,6-66,24,false,84,11
6-106,m2-m3-m7-M6-m7-M6,"1 3 10 9 10 9",6-106I,6-218I,false,,6-83,24,false,84,11
6-106I,M2-m3-M2-m3-M7-M6,"2 3 2 3 11 9",6-106,6-218,false,,6-83,24,false,60,11
6-107,m2-m3-M7-M2-m3-m7,"1 3 11 2 3 10",6-107I,6-220,false,,6-84,24,false,60,11
6-107I,m2-m7-M6-M2-M7-M6,"1 10 9 2 11 9",6-107,6-220I,false,,6-84,24,false,84,11
6-108,m2-m3-M7-M2-M6-M3,"1 3 11 2 9 4",6-108I,6-133I,false,,6-85,24,false,60,11
6-108I,m2-m7-m3-m6-M7-M6,"1 10 3 8 11 9",6-108,6-133,false,,6-85,24,false,84,11
6-109,m2-m3-M7-P4-m3-P5,"1 3 11 5 3 7",6-109I,6-157I,false,,6-86,24,false,60,11
6-109I,m2-P5-M6-P4-M7-M6,"1 7 9 5 11 9",6-109,6-157,false,,6-86,24,false,84,11
6-110,m2-m3-M7-m6-m3-M3,"1 3 11 8 3 4",6-110I,6-116I,false,,6-87,24,false,60,11
6-110I,m2-M3-M6-m6-M7-M6,"1 4 9 8 11 9",6-110,6-116,false,,6-87,24,false,84,11
6-111,m2-m3-M7-m6-M6-m7,"1 3 11 8 9 10",6-111I,6-219,false,,6-88,24,false,84,11
6-111I,m2-M3-m3-M2-M7-M6,"1 4 3 2 11 9",6-111,6-219I,false,,6-88,24,false,60,11
6-112,m2-M3-m3-m2-P5-M2,"1 4 3 1 7 2",6-112I,6-59I,false,,6-40,24,false,36,11
6-112I,P4-m7-M7-m6-M6-M7,"5 10 11 8 9 11",6-112,6-59,false,,6-40,24,false,108,11
6-113,m2-M3-m3-M2-P4-m3,"1 4 3 2 5 3",6-113I,6-89I,false,,6-67,24,false,36,11
6-113I,P5-M6-M7-m6-M6-m7,"7 9 11 8 9 10",6-113,6-89,false,,6-67,24,false,108,11
6-114,m2-M3-m3-P5-P5-m6,"1 4 3 7 7 8",6-114I,6-187I,false,,6-89,24,false,60,11
6-114I,M3-M7-m6-M6-P4-P4,"4 11 8 9 5 5",6-114,6-187,false,,6-89,24,false,84,11
6-115,m2-M3-m3-m6-P4-M6,"1 4 3 8 5 9",6-115I,6-208I,false,,6-90,24,false,60,11
6-115I,m3-M7-m6-M6-M3-P5,"3 11 8 9 4 7",6-115,6-208,false,,6-90,24,false,84,11
6-116,m2-M3-m3-m6-M7-m3,"1 4 3 8 11 3",6-116I,6-110I,false,,6-87,24,false,60,11
6-116I,m2-M6-M7-m6-M6-M3,"1 9 11 8 9 4",6-116,6-110,false,,6-87,24,false,84,11
6-117,m2-M3-M3-m2-M3-M3,"1 4 4 1 4 4",6-117I,6-117I,true,m2-M3-M3,,6,true,36,11
6-117I,m6-m6-M7-m6-m6-M7,"8 8 11 8 8 11",6-117,6-117,true,m6-m6-M7,,6,true,108,11
6-118,m2-M3-M3-m2-m7-m7,"1 4 4 1 10 10",6-118I,6-118I,false,,6-91,12,true,60,11
6-118I,M2-M2-M7-m6-m6-M7,"2 2 11 8 8 11",6-118,6-118,false,,6-91,12,true,84,11
6-119,m2-M3-M3-P4-M2-M2,"1 4 4 5 2 2",6-119I,6-47I,false,,6-28,24,false,36,11
6-119I,P5-m7-m7-M7-m6-m6,"7 10 10 11 8 8",6-119,6-47,false,,6-28,24,false,108,11
6-120,m2-M3-M3-P4-m6-m6,"1 4 4 5 8 8",6-120I,6-192I,false,,6-92,24,false,60,11
6-120I,M3-M3-M7-m6-m6-P5,"4 4 11 8 8 7",6-120,6-192,false,,6-92,24,false,84,11
6-121,m2-M3-M3-P5-M3-m7,"1 4 4 7 4 10",6-121I,6-227I,false,,6-93,24,false,60,11
6-121I,M2-M7-m6-m6-P4-m6,"2 11 8 8 5 8",6-121,6-227,false,,6-93,24,false,84,11
6-122,m2-M3-M3-P5-m7-M3,"1 4 4 7 10 4",6-122I,6-141I,false,,6-94,24,false,60,11
6-122I,M2-m6-M7-m6-m6-P4,"2 8 11 8 8 5",6-122,6-141,false,,6-94,24,false,84,11
6-123,m2-M3-M3-M7-M2-m6,"1 4 4 11 2 8",6-123I,6-180I,false,,6-95,24,false,60,11
6-123I,m2-m7-M3-M7-m6-m6,"1 10 4 11 8 8",6-123,6-180,false,,6-95,24,false,84,11
6-124,m2-M3-M3-M7-m6-M2,"1 4 4 11 8 2",6-124I,6-71I,false,,6-51,24,false,60,11
6-124I,m2-M3-m7-M7-m6-m6,"1 4 10 11 8 8",6-124,6-71,false,,6-51,24,false,84,11
6-125,m2-M3-P4-M3-P5-M6,"1 4 5 4 7 9",6-125I,6-211I,false,,6-96,24,false,60,11
6-125I,m3-M7-m6-P5-m6-P4,"3 11 8 7 8 5",6-125,6-211,false,,6-96,24,false,84,11
6-126,m2-M3-P4-P4-P4-m7,"1 4 5 5 5 10",6-126I,6-231I,false,,6-97,24,false,60,11
6-126I,M2-M7-m6-P5-P5-P5,"2 11 8 7 7 7",6-126,6-231,false,,6-97,24,false,84,11
6-127,m2-M3-P4-P4-M7-M3,"1 4 5 5 11 4",6-127I,6-146I,false,,6-98,24,false,60,11
6-127I,m2-m6-M7-m6-P5-P5,"1 8 11 8 7 7",6-127,6-146,false,,6-98,24,false,84,11
6-128,m2-M3-P4-m7-m2-M6,"1 4 5 10 1 9",6-128I,6-199I,false,,6-99,24,false,60,11
6-128I,M2-M7-m3-M7-m6-P5,"2 11 3 11 8 7",6-128,6-199,false,,6-99,24,false,84,11
6-129,m2-M3-P4-m7-P5-m3,"1 4 5 10 7 3",6-129I,6-100I,false,,6-78,24,false,60,11
6-129I,M2-P4-M6-M7-m6-P5,"2 5 9 11 8 7",6-129,6-100,false,,6-78,24,false,84,11
6-130,m2-M3-P4-M7-P4-M3,"1 4 5 11 5 4",6-130I,6-130I,false,,6-100,12,true,60,11
6-130I,m2-P5-m6-M7-m6-P5,"1 7 8 11 8 7",6-130,6-130,false,,6-100,12,true,84,11
6-131,m2-M3-M6-m2-P5-m6,"1 4 9 1 7 8",6-131I,6-185I,false,,6-101,24,false,60,11
6-131I,m3-M7-P4-M3-M7-m6,"3 11 5 4 11 8",6-131,6-185,false,,6-101,24,false,84,11
6-132,m2-M3-M6-M2-P4-M6,"1 4 9 2 5 9",6-132I,6-206I,false,,6-102,24,false,60,11
6-132I,m3-m7-P5-m3-M7-m6,"3 10 7 3 11 8",6-132,6-206,false,,6-102,24,false,84,11
6-133,m2-M3-M6-M2-M7-m3,"1 4 9 2 11 3",6-133I,6-108I,false,,6-85,24,false,60,11
6-133I,m2-M6-M7-m6-m3-m7,"1 9 11 8 3 10",6-133,6-108,false,,6-85,24,false,84,11
6-134,m2-M3-M6-P5-m2-m6,"1 4 9 7 1 8",6-134I,6-169I,false,,6-103,24,false,60,11
6-134I,m3-P4-M7-M3-M7-m6,"3 5 11 4 11 8",6-134,6-169,false,,6-103,24,false,84,11
6-135,m2-M3-M6-P5-P5-M2,"1 4 9 7 7 2",6-135I,6-63I,false,,6-44,24,false,60,11
6-135I,m3-P4-P4-m7-M7-m6,"3 5 5 10 11 8",6-135,6-63,false,,6-44,24,false,84,11
6-136,m2-M3-M6-m6-P4-m3,"1 4 9 8 5 3",6-136I,6-93I,false,,6-71,24,false,60,11
6-136I,m3-M3-P5-M6-M7-m6,"3 4 7 9 11 8",6-136,6-93,false,,6-71,24,false,84,11
6-137,m2-M3-m7-m2-M3-m7,"1 4 10 1 4 10",6-137I,6-224I,true,m2-M3-m7,,12,false,60,11
6-137I,M2-M7-m6-M2-M7-m6,"2 11 8 2 11 8",6-137,6-224,true,M2-M7-m6,,12,false,84,11
6-138,m2-M3-m7-m2-m7-M3,"1 4 10 1 10 4",6-138I,6-138I,false,,6-104,12,true,60,11
6-138I,M2-m6-M7-m6-M2-M7,"2 8 11 8 2 11",6-138,6-138,false,,6-104,12,true,84,11
6-139,m2-M3-m7-P4-M2-m6,"1 4 10 5 2 8",6-139I,6-177I,false,,6-105,24,false,60,11
6-139I,M2-P5-m7-M3-M7-m6,"2 7 10 4 11 8",6-139,6-177,false,,6-105,24,false,84,11
6-140,m2-M3-m7-P4-m6-M2,"1 4 10 5 8 2",6-140I,6-68I,false,,6-48,24,false,60,11
6-140I,M2-P5-M3-m7-M7-m6,"2 7 4 10 11 8",6-140,6-68,false,,6-48,24,false,84,11
6-141,m2-M3-m7-P5-M3-M3,"1 4 10 7 4 4",6-141I,6-122I,false,,6-94,24,false,60,11
6-141I,M2-P4-m6-m6-M7-m6,"2 5 8 8 11 8",6-141,6-122,false,,6-94,24,false,84,11
6-142,m2-M3-m7-P5-m7-m7,"1 4 10 7 10 10",6-142I,6-240I,false,,6-106,24,false,84,11
6-142I,M2-M2-M7-m6-M2-P4,"2 2 11 8 2 5",6-142,6-240,false,,6-106,24,false,60,11
6-143,m2-M3-m7-M7-M2-M2,"1 4 10 11 2 2",6-143I,6-52I,false,,6-33,24,false,60,11
6-143I,m2-m7-m7-M7-m6-M2,"1 10 10 11 8 2",6-143,6-52,false,,6-33,24,false,84,11
6-144,m2-M3-M7-M3-m2-M6,"1 4 11 4 1 9",6-144I,6-144I,false,,6-107,12,true,60,11
6-144I,m2-m6-M7-m3-M7-m6,"1 8 11 3 11 8",6-144,6-144,false,,6-107,12,true,84,11
6-145,m2-M3-M7-M3-P5-m3,"1 4 11 4 7 3",6-145I,6-97I,false,,6-75,24,false,60,11
6-145I,m2-m6-P4-M6-M7-m6,"1 8 5 9 11 8",6-145,6-97,false,,6-75,24,false,84,11
6-146,m2-M3-M7-P4-P4-M3,"1 4 11 5 5 4",6-146I,6-127I,false,,6-98,24,false,60,11
6-146I,m2-P5-P5-m6-M7-m6,"1 7 7 8 11 8",6-146,6-127,false,,6-98,24,false,84,11
6-147,m2-P5-m2-P5-P5-P5,"1 7 1 7 7 7",6-147I,6-147I,false,,6-108,12,true,60,11
6-147I,P4-P4-P4-M7-P4-M7,"5 5 5 11 5 11",6-147,6-147,false,,6-108,12,true,84,11
6-148,m2-P5-m2-m6-P4-m6,"1 7 1 8 5 8",6-148I,6-148I,false,,6-109,12,true,60,11
6-148I,M3-P5-M3-M7-P4-M7,"4 7 4 11 5 11",6-148,6-148,false,,6-109,12,true,84,11
6-149,m2-P5-m2-m6-M7-M2,"1 7 1 8 11 2",6-149I,6-75I,false,,6-55,24,false,60,11
6-149I,m2-m7-M7-P4-M7-M3,"1 10 11 5 11 4",6-149,6-75,false,,6-55,24,false,84,11
6-150,m2-P5-M2-m2-m7-M6,"1 7 2 1 10 9",6-150I,6-60I,false,,6-41,24,false,60,11
6-150I,M2-m3-M7-P4-m7-M7,"2 3 11 5 10 11",6-150,6-60,false,,6-41,24,false,84,11
6-151,m2-P5-M2-P4-m6-P5,"1 7 2 5 8 7",6-151I,6-166I,false,,6-110,24,false,60,11
6-151I,M3-P4-M7-P4-m7-P5,"4 5 11 5 10 7",6-151,6-166,false,,6-110,24,false,84,11
6-152,m2-P5-M2-P5-M3-M6,"1 7 2 7 4 9",6-152I,6-202I,false,,6-111,24,false,60,11
6-152I,m3-M7-P4-m7-P4-m6,"3 11 5 10 5 8",6-152,6-202,false,,6-111,24,false,84,11
6-153,m2-P5-M2-P5-m7-m3,"1 7 2 7 10 3",6-153I,6-104I,false,,6-82,24,false,60,11
6-153I,M2-M6-M7-P4-m7-P4,"2 9 11 5 10 5",6-153,6-104,false,,6-82,24,false,84,11
6-154,m2-P5-M2-M7-M2-P5,"1 7 2 11 2 7",6-154I,6-154I,false,,6-112,12,true,60,11
6-154I,m2-m7-P4-M7-P4-m7,"1 10 5 11 5 10",6-154,6-154,false,,6-112,12,true,84,11
6-155,m2-P5-m3-M3-P5-m6,"1 7 3 4 7 8",6-155I,6-186I,false,,6-113,24,false,60,11
6-155I,M3-M7-P4-M6-m6-P4,"4 11 5 9 8 5",6-155,6-186,false,,6-113,24,false,84,11
6-156,m2-P5-m3-P4-P4-M6,"1 7 3 5 5 9",6-156I,6-207I,false,,6-114,24,false,60,11
6-156I,m3-M7-P4-M6-P5-P5,"3 11 5 9 7 7",6-156,6-207,false,,6-114,24,false,84,11
6-157,m2-P5-m3-P4-M7-m3,"1 7 3 5 11 3",6-157I,6-109I,false,,6-86,24,false,60,11
6-157I,m2-M6-M7-P4-M6-P5,"1 9 11 5 9 7",6-157,6-109,false,,6-86,24,false,84,11
6-158,m2-P5-m3-m7-m2-m6,"1 7 3 10 1 8",6-158I,6-173I,false,,6-115,24,false,60,11
6-158I,M2-M7-M3-M7-P4-M6,"2 11 4 11 5 9",6-158,6-173,false,,6-115,24,false,84,11
6-159,m2-P5-m3-m7-P5-M2,"1 7 3 10 7 2",6-159I,6-64I,false,,6-45,24,false,60,11
6-159I,M2-P4-m7-M7-P4-M6,"2 5 10 11 5 9",6-159,6-64,false,,6-45,24,false,84,11
6-160,m2-P5-m3-M7-P4-m3,"1 7 3 11 5 3",6-160I,6-94I,false,,6-72,24,false,60,11
6-160I,m2-P5-M6-M7-P4-M6,"1 7 9 11 5 9",6-160,6-94,false,,6-72,24,false,84,11
6-161,m2-P5-P5-m2-P5-P5,"1 7 7 1 7 7",6-161I,6-161I,true,m2-P5-P5,,6,true,60,11
6-161I,P4-P4-M7-P4-P4-M7,"5 5 11 5 5 11",6-161,6-161,true,P4-P4-M7,,6,true,84,11
6-162,m2-P5-P5-M2-P4-m6,"1 7 7 2 5 8",6-162I,6-181I,false,,6-116,24,false,60,11
6-162I,M3-M7-P4-P4-m7-P5,"4 11 5 5 10 7",6-162,6-181,false,,6-116,24,false,84,11
6-163,m2-P5-P5-M2-M7-M2,"1 7 7 2 11 2",6-163I,6-72I,false,,6-52,24,false,60,11
6-163I,m2-m7-M7-P4-P4-m7,"1 10 11 5 5 10",6-163,6-72,false,,6-52,24,false,84,11
6-164,m2-P5-P5-m6-P4-M2,"1 7 7 8 5 2",6-164I,6-56I,false,,6-37,24,false,60,11
6-164I,M3-P5-m7-M7-P4-P4,"4 7 10 11 5 5",6-164,6-56,false,,6-37,24,false,84,11
6-165,m2-P5-m6-m2-m7-m3,"1 7 8 1 10 3",6-165I,6-101I,false,,6-79,24,false,60,11
6-165I,M2-M6-M7-P4-M3-M7,"2 9 11 5 4 11",6-165,6-101,false,,6-79,24,false,84,11
6-166,m2-P5-m6-P4-M2-P5,"1 7 8 5 2 7",6-166I,6-151I,false,,6-110,24,false,60,11
6-166I,M3-P5-m7-P4-M7-P4,"4 7 10 5 11 5",6-166,6-151,false,,6-110,24,false,84,11
6-167,m2-P5-m6-P5-M3-m3,"1 7 8 7 4 3",6-167I,6-86I,false,,6-64,24,false,60,11
6-167I,M3-P4-m6-M6-M7-P4,"4 5 8 9 11 5",6-167,6-86,false,,6-64,24,false,84,11
6-168,m2-P5-m6-P5-m7-M6,"1 7 8 7 10 9",6-168I,6-216I,false,,6-117,24,false,84,11
6-168I,M2-m3-M7-P4-M3-P4,"2 3 11 5 4 5",6-168,6-216,false,,6-117,24,false,60,11
6-169,m2-P5-M6-M3-m2-m6,"1 7 9 4 1 8",6-169I,6-134I,false,,6-103,24,false,60,11
6-169I,m3-m6-M7-M3-M7-P4,"3 8 11 4 11 5",6-169,6-134,false,,6-103,24,false,84,11
6-170,m2-P5-M6-M3-P5-M2,"1 7 9 4 7 2",6-170I,6-61I,false,,6-42,24,false,60,11
6-170I,m3-m6-P4-m7-M7-P4,"3 8 5 10 11 5",6-170,6-61,false,,6-42,24,false,84,11
6-171,m2-P5-M6-P4-P4-m3,"1 7 9 5 5 3",6-171I,6-91I,false,,6-69,24,false,60,11
6-171I,m3-P5-P5-M6-M7-P4,"3 7 7 9 11 5",6-171,6-91,false,,6-69,24,false,84,11
6-172,m2-P5-M6-m7-P5-m6,"1 7 9 10 7 8",6-172I,6-189I,false,,6-118,24,false,84,11
6-172I,M2-P4-M3-M7-P4-m3,"2 5 4 11 5 3",6-172,6-189,false,,6-118,24,false,60,11
6-173,m2-m6-m2-m7-m3-P5,"1 8 1 10 3 7",6-173I,6-158I,false,,6-115,24,false,60,11
6-173I,M2-M6-P4-M7-M3-M7,"2 9 5 11 4 11",6-173,6-158,false,,6-115,24,false,84,11
6-174,m2-m6-M2-m3-M2-M2,"1 8 2 3 2 2",6-174I,6-45I,false,,6-26,24,false,36,11
6-174I,M3-m7-M6-m7-m7-M7,"4 10 9 10 10 11",6-174,6-45,false,,6-26,24,false,108,11
6-175,m2-m6-M2-m3-m6-m6,"1 8 2 3 8 8",6-175I,6-190I,false,,6-119,24,false,60,11
6-175I,M3-M3-M7-M3-m7-M6,"4 4 11 4 10 9",6-175,6-190,false,,6-119,24,false,84,11
6-176,m2-m6-M2-P4-M3-m7,"1 8 2 5 4 10",6-176I,6-225I,false,,6-120,24,false,60,11
6-176I,M2-M7-M3-m7-P5-m6,"2 11 4 10 7 8",6-176,6-225,false,,6-120,24,false,84,11
6-177,m2-m6-M2-P4-m7-M3,"1 8 2 5 10 4",6-177I,6-139I,false,,6-105,24,false,60,11
6-177I,M2-m6-M7-M3-m7-P5,"2 8 11 4 10 7",6-177,6-139,false,,6-105,24,false,84,11
6-178,m2-m6-M2-M6-M2-m6,"1 8 2 9 2 8",6-178I,6-178I,false,,6-121,12,true,60,11
6-178I,m3-m7-M3-M7-M3-m7,"3 10 4 11 4 10",6-178,6-178,false,,6-121,12,true,84,11
6-179,m2-m6-M2-M6-m6-M2,"1 8 2 9 8 2",6-179I,6-69I,false,,6-49,24,false,60,11
6-179I,m3-M3-m7-M7-M3-m7,"3 4 10 11 4 10",6-179,6-69,false,,6-49,24,false,84,11
6-180,m2-m6-M2-M7-M3-M3,"1 8 2 11 4 4",6-180I,6-123I,false,,6-95,24,false,60,11
6-180I,m2-m6-m6-M7-M3-m7,"1 8 8 11 4 10",6-180,6-123,false,,6-95,24,false,84,11
6-181,m2-m6-P4-M2-P5-P5,"1 8 5 2 7 7",6-181I,6-162I,false,,6-116,24,false,60,11
6-181I,M3-P5-m7-P4-P4-M7,"4 7 10 5 5 11",6-181,6-162,false,,6-116,24,false,84,11
6-182,m2-m6-P4-m3-P4-m6,"1 8 5 3 5 8",6-182I,6-182I,false,,6-122,12,true,60,11
6-182I,M3-P5-M6-P5-M3-M7,"4 7 9 7 4 11",6-182,6-182,false,,6-122,12,true,84,11
6-183,m2-m6-P4-m3-M7-M2,"1 8 5 3 11 2",6-183I,6-73I,false,,6-53,24,false,60,11
6-183I,m2-m7-M7-M3-P5-M6,"1 10 11 4 7 9",6-183,6-73,false,,6-53,24,false,84,11
6-184,m2-m6-P4-M6-P4-M2,"1 8 5 9 5 2",6-184I,6-57I,false,,6-38,24,false,60,11
6-184I,m3-P5-m7-M7-M3-P5,"3 7 10 11 4 7",6-184,6-57,false,,6-38,24,false,84,11
6-185,m2-m6-P5-m2-M6-M3,"1 8 7 1 9 4",6-185I,6-131I,false,,6-101,24,false,60,11
6-185I,m3-m6-M7-M3-P4-M7,"3 8 11 4 5 11",6-185,6-131,false,,6-101,24,false,84,11
6-186,m2-m6-P5-M3-m3-P5,"1 8 7 4 3 7",6-186I,6-155I,false,,6-113,24,false,60,11
